City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.650000000000034,87,100,10.89,PN,1696121338
1,san patricio,28.017,-97.5169,30.05000000000001,67,0,5.9,US,1696121339
2,college,64.8569,-147.8028,10.600000000000023,46,40,3.6,US,1696121339
3,ushuaia,-54.8,-68.3,5.810000000000002,70,75,10.8,AR,1696121179
4,manokwari,-0.8667,134.0833,27.400000000000034,75,98,1.0,ID,1696121340
5,la'ie,21.6477,-157.9253,30.980000000000018,69,3,3.58,US,1696121340
6,atafu village,-8.5421,-172.5159,28.82000000000005,67,55,2.9,TK,1696121340
7,akureyri,65.6835,-18.0878,2.9600000000000364,100,20,0.51,IS,1696121340
8,kyzyl,51.7,94.45,9.510000000000048,53,100,0.32,RU,1696121341
9,port-gentil,-0.7193,8.7815,25.430000000000007,88,98,7.54,GA,1696121341
10,la passe,45.5549,-0.8967,18.129999999999995,76,63,3.57,FR,1696121342
11,wailua homesteads,22.0669,-159.378,30.24000000000001,75,100,6.69,US,1696121342
12,edinburgh of the seven seas,-37.0676,-12.3116,10.510000000000048,70,100,16.41,SH,1696121342
13,isafjordur,66.0755,-23.124,5.6200000000000045,90,100,3.78,IS,1696121343
14,yellowknife,62.456,-114.3525,8.29000000000002,86,75,3.09,CA,1696121176
15,saipan,15.1355,145.701,28.390000000000043,83,75,4.12,MP,1696121343
16,port-aux-francais,-49.35,70.2167,5.78000000000003,96,100,16.09,TF,1696121343
17,okha,53.5739,142.9478,10.5,86,95,4.03,RU,1696121344
18,mount isa,-20.7333,139.5,29.870000000000005,28,1,4.63,AU,1696121344
19,puerto ayora,-0.7393,-90.3518,23.640000000000043,92,100,3.13,EC,1696121344
20,abalak,58.1286,68.5944,2.4600000000000364,73,65,1.64,RU,1696121345
21,djambala,-2.5447,14.7533,20.5,91,74,1.22,CG,1696121345
22,touros,-5.1989,-35.4608,25.140000000000043,76,34,6.63,BR,1696121345
23,bredasdorp,-34.5322,20.0403,12.060000000000002,65,74,0.67,ZA,1696121346
24,bethel,41.3712,-73.414,16.680000000000007,88,40,0.0,US,1696121278
25,hawaiian paradise park,19.5933,-154.9731,28.730000000000018,75,0,3.09,US,1696121284
26,iqaluit,63.7506,-68.5145,1.8500000000000227,93,100,4.63,CA,1696121346
27,dudinka,69.4058,86.1778,-10.479999999999961,92,14,3.54,RU,1696121347
28,colares,38.7992,-9.4469,25.360000000000014,59,51,5.81,PT,1696121347
29,banket,-17.3833,30.4,20.680000000000007,51,70,1.97,ZW,1696121347
30,tubarjal,30.4999,38.216,23.980000000000018,41,0,3.67,SA,1696121348
31,reitz,-27.8014,28.4273,11.439999999999998,22,0,3.24,ZA,1696121348
32,balaipungut,1.05,101.2833,27.650000000000034,65,95,0.93,ID,1696121348
33,isla mujeres,21.2311,-86.731,29.03000000000003,85,94,3.8,MX,1696121349
34,albany,42.6001,-73.9662,16.0,93,0,1.11,US,1696121218
35,chonchi,-42.6128,-73.8092,8.400000000000034,89,100,0.96,CL,1696121349
36,ust-nera,64.5667,143.2,1.0500000000000114,49,22,3.12,RU,1696121349
37,anadyr,64.75,177.4833,2.2800000000000296,64,20,4.92,RU,1696121350
38,tiksi,71.6872,128.8694,-3.2099999999999795,82,94,2.92,RU,1696121350
39,avarua,-21.2078,-159.775,27.03000000000003,83,20,5.14,CK,1696121350
40,tayshet,55.9342,98.0044,2.140000000000043,91,100,5.22,RU,1696121351
41,papatowai,-46.5619,169.4708,13.090000000000032,65,100,4.8,NZ,1696121351
42,west island,-12.1568,96.8225,25.99000000000001,73,75,6.17,CC,1696121351
43,new norfolk,-42.7826,147.0587,16.07000000000005,64,33,6.39,AU,1696121352
44,flying fish cove,-10.4217,105.6791,25.82000000000005,78,75,5.14,CX,1696121352
45,taft,31.7471,54.2088,14.970000000000027,25,0,1.03,IR,1696121352
46,grytviken,-54.2811,-36.5092,2.0600000000000023,79,15,4.79,GS,1696121353
47,kodiak,57.79,-152.4072,9.730000000000018,93,100,4.12,US,1696121353
48,vilyuchinsk,52.9306,158.4028,11.150000000000034,55,98,1.0,RU,1696121353
49,papao,-17.75,-149.55,29.82000000000005,83,14,9.92,PF,1696121354
50,geraldton,-28.7667,114.6,19.230000000000018,72,75,2.57,AU,1696121354
51,alofi,-19.0595,-169.9187,23.939999999999998,83,100,6.17,NU,1696121354
52,eydhafushi,5.1033,73.0708,27.99000000000001,75,100,6.18,MV,1696121355
53,bage,-31.3314,-54.1069,10.879999999999995,87,40,0.51,BR,1696121355
54,cabo san lucas,22.8909,-109.9124,32.610000000000014,68,20,5.66,MX,1696121056
55,vila franca do campo,37.7167,-25.4333,20.49000000000001,99,100,3.87,PT,1696121356
56,askoy,60.4092,5.226,10.53000000000003,100,100,1.03,NO,1696121356
57,sabzevar,36.2126,57.6819,15.770000000000039,29,0,2.41,IR,1696121357
58,wenling,28.3669,121.36,23.430000000000007,82,98,7.13,CN,1696121357
59,hadibu,12.65,54.0333,26.610000000000014,83,99,3.44,YE,1696121357
60,luderitz,-26.6481,15.1594,15.79000000000002,70,0,6.13,NA,1696121357
61,punta arenas,-53.15,-70.9167,6.060000000000002,61,0,12.86,CL,1696121226
62,san antonio de pale,-1.4014,5.6325,24.810000000000002,82,99,5.57,GQ,1696121358
63,codrington,-38.2667,141.9667,15.560000000000002,59,6,9.09,AU,1696121358
64,blackmans bay,-43.0167,147.3167,15.410000000000025,72,64,7.51,AU,1696121359
